text,label
"Shakespeare’s influence on the English language is unparalleled, enriching it with countless new words and phrases.",0
The human brain contains about 86 billion neurons and is the control center of the nervous system.,0
"Leonardo da Vinci exemplified the Renaissance ideal of a polymath, mastering art, science, and innovation.",1
"Leonardo da Vinci was not only an artist but also an inventor, anatomist, and engineer.",0
"Shakespeare’s literary contributions continue to inspire writers and scholars, demonstrating the timeless nature of his work.",1
"Mount Everest stands as a symbol of human exploration and endurance, attracting climbers from around the globe.",1
Black holes are regions of spacetime exhibiting such strong gravitational effects that nothing—not even light—can escape from them.,0
Photosynthesis is the process by which green plants convert sunlight into chemical energy.,0
"The Roman Empire pioneered many modern innovations in law and architecture, influencing societies for centuries.",1
"The brain functions as a central processing unit for the body, handling thoughts, emotions, and automatic responses.",1
"India gained independence from British colonial rule on August 15, 1947, after a long non-violent struggle.",0
"Photosynthesis enables plants to utilize sunlight for energy, sustaining life on Earth through the oxygen it releases.",1
"Mount Everest, located in the Himalayas, is the highest mountain on Earth above sea level.",0
"Black holes captivate scientists due to their extreme gravity and mysterious nature, offering insight into fundamental physics.",1
"Darwin's theory of evolution fundamentally changed biology, explaining how species adapt over time through natural selection.",1
The theory of evolution by natural selection was proposed by Charles Darwin in the 19th century.,0
"Ancient Roman civilization laid the foundation for modern laws, architecture, and engineering.",0
"World War II was a monumental period in history characterized by widespread conflict, significant technological advances, and geopolitical shifts.",1
"India's independence marked a turning point in history, showcasing the power of peaceful protest and national unity.",1
"World War II was a global conflict that lasted from 1939 to 1945, involving most of the world's nations.",0
